[    1270ms] [INFO] %cDownload the React DevTools for a better development experience: https://reactjs.org/link/react-devtools font-weight:bold @ webpack-internal:///(app-pages-browser)/./node_modules/next/dist/compiled/react-dom/cjs/react-dom.development.js:38559
[    2471ms] [LOG] APS: 63 | FPS: 63 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    2472ms] [LOG] APS: 62 | FPS: 62 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    3472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    3473ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    4471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    4472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    5471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    5472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    6471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    6472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    7471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    7472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    8471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    8472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    9471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[    9472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   10471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   10472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   11471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   11472ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   12471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   12471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   13470ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   13471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   14470ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
[   14471ms] [LOG] APS: 60 | FPS: 60 @ webpack-internal:///(app-pages-browser)/./src/engine/core/MainLoop/mainLoop.ts:36
